"exercise","performance","correctness","difficulty","link"
"./2/1/odd_occurrences_in_array.py",100,100,"painless","https://app.codility.com/programmers/lessons/2-arrays/odd_occurrences_in_array/"
"./2/1/OddOccurrencesInArray.ts",50,100,"painless","https://app.codility.com/programmers/lessons/2-arrays/odd_occurrences_in_array/"
"./2/2/cyclic_rotation.py",NA,100,"painless","https://app.codility.com/programmers/lessons/2-arrays/cyclic_rotation/"
"./2/2/CyclicRotation.ts",NA,100,"painless","https://app.codility.com/programmers/lessons/2-arrays/cyclic_rotation/"
"./3/1/perm_missing_elem.py",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/perm_missing_elem/"
"./3/1/PermMissingElem.ts",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/perm_missing_elem/"
"./3/2/tape_equilibrium.py",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/tape_equilibrium/"
"./3/2/TapeEquilibrium.ts",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/tape_equilibrium/"
"./3/3/frog_jmp.py",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/frog_jmp/"
"./3/3/FrogJmp.ts",100,100,"painless","https://app.codility.com/programmers/lessons/3-time-complexity/frog_jmp/"
"./4/1/perm_check.py",100,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/perm_check/"
"./4/1/PermCheck.ts",33,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/perm_check/"
"./4/2/frog_river_one.py",100,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/frog_river_one/"
"./4/2/FrogRiverOne.ts",100,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/frog_river_one/"
"./4/3/missing_integer.py",100,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/missing_integer/"
"./4/3/MissingInteger.ts",25,100,"painless","https://app.codility.com/programmers/lessons/4-counting_elements/missing_integer/"
"./4/4/max_counters.py",100,100,"respectable","https://app.codility.com/programmers/lessons/4-counting_elements/max_counters/"
"./4/4/MaxCounters.ts",100,100,"respectable","https://app.codility.com/programmers/lessons/4-counting_elements/max_counters/"
"./5/1/count_div.py",100,100,"painless","https://app.codility.com/programmers/lessons/5-prefix_sums/count_div/"
"./5/1/CountDiv.ts",100,100,"painless","https://app.codility.com/programmers/lessons/5-prefix_sums/count_div/"
"./5/2/passing_cars.py",100,100,"painless","https://app.codility.com/programmers/lessons/5-prefix_sums/passing_cars/"
"./5/2/PassingCars.ts",100,100,"painless","https://app.codility.com/programmers/lessons/5-prefix_sums/passing_cars/"
"./5/3/min_avg_two_slice.py",100,100,"respectable","https://app.codility.com/programmers/lessons/5-prefix_sums/min_avg_two_slice/"
"./5/3/MinAvgTwoSlice.ts",100,100,"respectable","https://app.codility.com/programmers/lessons/5-prefix_sums/min_avg_two_slice/"
"./5/4/genomic_range_query.py",0,100,"respectable","https://app.codility.com/programmers/lessons/5-prefix_sums/genomic_range_query/"
"./5/4/GenomicRangeQuery.ts",0,100,"respectable","https://app.codility.com/programmers/lessons/5-prefix_sums/genomic_range_query/"
"./6/1/distinct.py",100,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/distinct/"
"./6/1/Distinct.ts",33,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/distinct/"
"./6/2/triangle.py",100,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/triangle/"
"./6/2/Triangle.ts",100,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/triangle/"
"./6/3/max_product_of_three.py",100,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/max_product_of_three/"
"./6/3/MaxProductOfThree.ts",100,100,"painless","https://app.codility.com/programmers/lessons/6-sorting/max_product_of_three/"
"./6/4/number_of_disc_intersections.py",12,100,"respectable","https://app.codility.com/programmers/lessons/6-sorting/number_of_disc_intersections/"
"./6/4/NumberOfDiscIntersections.ts",12,100,"respectable","https://app.codility.com/programmers/lessons/6-sorting/number_of_disc_intersections/"
"./7/1/brackets.py",80,100,"painless","https://app.codility.com/demo/results/trainingB73C4A-TQM/"
"./7/1/Brackets.ts",80,100,"painless","https://app.codility.com/demo/results/trainingJ3BU8D-N8G/"
"./7/2/stone_wall.py",77,100,"painless","https://app.codility.com/demo/results/trainingQYZX6P-S8W/ ; trainingK59HWD-FN2"
"./7/2/StoneWall.ts",77,100,"painless","https://app.codility.com/demo/results/trainingSTMQVS-DX6/"
"./7/3/fish.py",50,50,"painless","https://app.codility.com/demo/results/trainingXVYYMB-PCH/"
